season,team,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,total_played,total_wins,total_draws,total_losses,total_goals_for,total_goals_against,goal_diff,points,season_int,squad_depth_900min,squad_depth_300min,avg_squad_age,avg_squad_market_value,total_squad_market_value,n_players_with_value,attack_defense_ratio,home_points,away_points,home_strength,away_strength,home_away_ratio,goals_per_game,goals_against_per_game,clean_sheet_proxy,u21_players,u21_total_min,youth_development_score,squad_turnover_rate,new_players_count,wage_efficiency_proxy
2000/01,Leicester,19,10,4,5,28,23,19,4,2,13,11,28,38,14,6,18,39,51,-12,48,2000,15,23,27.533333333333335,0.0,0.0,15,0.765,34,14,0.596,0.246,2.423,1.026,1.342,0.51,2.0,1011.0,2.69,,,
2000/01,Liverpool,19,13,4,2,40,14,19,7,5,7,31,25,38,20,9,9,71,39,32,69,2000,15,20,25.133333333333333,0.0,0.0,14,1.821,43,26,0.754,0.456,1.654,1.868,1.026,0.625,5.0,5460.0,14.56,,,
2000/01,Man City,19,4,3,12,20,31,19,4,7,8,21,34,38,8,10,20,41,65,-24,34,2000,17,24,25.058823529411764,0.0,0.0,17,0.631,15,19,0.263,0.333,0.79,1.079,1.711,0.375,3.0,3109.0,8.27,,,
2000/01,Man United,19,15,2,2,49,12,19,9,6,4,30,19,38,24,8,6,79,31,48,80,2000,16,21,26.6875,0.0,0.0,15,2.548,47,33,0.825,0.579,1.425,2.079,0.816,0.702,6.0,3261.0,8.68,,,
2000/01,Middlesbrough,19,4,7,8,18,23,19,5,8,6,26,21,38,9,15,14,44,44,0,42,2000,18,24,28.27777777777778,0.0,0.0,18,1.0,19,23,0.333,0.404,0.824,1.158,1.158,0.577,3.0,1376.0,3.67,,,
2000/01,Newcastle,19,10,4,5,26,17,19,4,5,10,18,33,38,14,9,15,44,50,-6,51,2000,18,25,25.444444444444443,0.0,0.0,17,0.88,34,17,0.596,0.298,2.0,1.158,1.316,0.519,7.0,4820.0,13.05,,,
2000/01,Southampton,19,11,2,6,27,22,19,3,8,8,13,26,38,14,10,14,40,48,-8,52,2000,14,17,26.933333333333334,0.0,0.0,15,0.833,35,17,0.614,0.298,2.06,1.053,1.263,0.539,2.0,3493.0,8.57,,,
2000/01,Sunderland,19,9,7,3,24,16,19,6,5,8,22,25,38,15,12,11,46,41,5,57,2000,14,19,26.142857142857142,0.0,0.0,12,1.122,34,23,0.596,0.404,1.475,1.211,1.079,0.606,5.0,2371.0,6.33,,,
2000/01,Tottenham,19,11,6,2,31,16,19,2,4,13,16,38,38,13,10,15,47,54,-7,49,2000,15,24,25.533333333333335,0.0,0.0,14,0.87,39,10,0.684,0.175,3.909,1.237,1.421,0.481,7.0,5922.0,15.76,,,
2000/01,West Ham,19,6,6,7,24,20,19,4,6,9,21,30,38,10,12,16,45,50,-5,42,2000,15,24,26.666666666666668,0.0,0.0,14,0.9,24,18,0.421,0.316,1.332,1.184,1.316,0.519,6.0,5461.0,14.62,,,
2001/02,Arsenal,19,12,4,3,42,25,19,14,5,0,37,11,38,26,9,3,79,36,43,87,2001,17,23,27.235294117647058,0.0,0.0,15,2.194,40,47,0.702,0.825,0.851,2.079,0.947,0.654,4.0,3508.0,9.38,26.09,6.0,
2001/02,Aston Villa,19,8,7,4,22,17,19,4,7,8,24,30,38,12,14,12,46,47,-1,50,2001,19,21,26.94736842105263,0.0,0.0,19,0.979,31,19,0.544,0.333,1.634,1.211,1.237,0.548,4.0,4563.0,12.16,38.1,8.0,
2001/02,Blackburn,19,8,6,5,33,20,19,4,4,11,22,31,38,12,10,16,55,51,4,46,2001,14,22,26.357142857142858,0.0,0.0,14,1.078,30,16,0.526,0.281,1.872,1.447,1.342,0.51,,,,,,
2001/02,Bolton,19,5,7,7,20,31,19,4,6,9,24,31,38,9,13,16,44,62,-18,40,2001,17,22,28.58823529411765,0.0,0.0,16,0.71,22,18,0.386,0.316,1.222,1.158,1.632,0.404,1.0,3028.0,8.12,,,
2001/02,Charlton,19,5,6,8,23,30,19,5,8,6,15,19,38,10,14,14,38,49,-11,44,2001,17,21,25.705882352941178,0.0,0.0,17,0.776,21,23,0.368,0.404,0.911,1.0,1.289,0.529,4.0,6440.0,17.19,23.81,5.0,
2001/02,Chelsea,19,11,4,4,43,21,19,6,9,4,23,17,38,17,13,8,66,38,28,64,2001,17,20,26.294117647058822,0.0,0.0,14,1.737,37,27,0.649,0.474,1.369,1.737,1.0,0.635,6.0,4983.0,13.27,30.0,6.0,
2001/02,Derby,19,5,4,10,20,26,19,3,2,14,13,37,38,8,6,24,33,63,-30,30,2001,17,24,26.352941176470587,0.0,0.0,15,0.524,19,11,0.333,0.193,1.725,0.868,1.658,0.394,5.0,4136.0,11.12,37.5,9.0,
2001/02,Everton,19,8,4,7,26,23,19,3,6,10,19,34,38,11,10,17,45,57,-12,43,2001,15,22,27.4,0.0,0.0,15,0.789,28,15,0.491,0.263,1.867,1.184,1.5,0.452,3.0,1216.0,3.27,31.82,7.0,
2001/02,Fulham,19,7,7,5,21,16,19,3,7,9,15,28,38,10,14,14,36,44,-8,44,2001,13,18,26.846153846153847,0.0,0.0,13,0.818,28,16,0.491,0.281,1.747,0.947,1.158,0.577,1.0,9.0,0.02,,,
2001/02,Ipswich,19,6,4,9,20,24,19,3,5,11,21,40,38,9,9,20,41,64,-23,36,2001,17,20,26.705882352941178,0.0,0.0,16,0.641,22,14,0.386,0.246,1.569,1.079,1.684,0.385,3.0,1729.0,4.54,30.0,6.0,
2001/02,Leeds,19,9,6,4,31,21,19,9,6,4,22,16,38,18,12,8,53,37,16,66,2001,17,18,24.647058823529413,0.0,0.0,17,1.432,33,33,0.579,0.579,1.0,1.395,0.974,0.644,1.0,1638.0,4.37,11.11,2.0,
2001/02,Leicester,19,3,7,9,15,34,19,2,6,11,15,30,38,5,13,20,30,64,-34,28,2001,16,25,27.125,0.0,0.0,16,0.469,16,12,0.281,0.211,1.332,0.789,1.684,0.385,10.0,3716.0,9.8,40.0,10.0,
2001/02,Liverpool,19,12,5,2,33,14,19,12,3,4,34,16,38,24,8,6,67,30,37,80,2001,14,19,25.214285714285715,0.0,0.0,13,2.233,41,39,0.719,0.684,1.051,1.763,0.789,0.712,3.0,3518.0,9.35,26.32,5.0,
2001/02,Man United,19,11,2,6,40,17,19,13,3,3,47,28,38,24,5,9,87,45,42,77,2001,14,22,26.571428571428573,0.0,0.0,13,1.933,35,42,0.614,0.737,0.833,2.289,1.184,0.567,3.0,791.0,2.14,22.73,5.0,
2001/02,Middlesbrough,19,7,5,7,23,26,19,5,4,10,12,21,38,12,9,17,35,47,-12,45,2001,16,24,27.3125,0.0,0.0,15,0.745,26,19,0.456,0.333,1.369,0.921,1.237,0.548,5.0,2007.0,5.36,41.67,10.0,
2001/02,Newcastle,19,12,3,4,40,23,19,9,5,5,34,29,38,21,8,9,74,52,22,71,2001,14,20,25.928571428571427,0.0,0.0,12,1.423,39,32,0.684,0.561,1.219,1.947,1.368,0.5,3.0,1558.0,4.14,30.0,6.0,
2001/02,Southampton,19,7,5,7,23,22,19,5,4,10,23,32,38,12,9,17,46,54,-8,45,2001,16,18,27.0625,0.0,0.0,16,0.852,26,19,0.456,0.333,1.369,1.211,1.421,0.481,2.0,3447.0,9.2,33.33,6.0,
2001/02,Sunderland,19,7,7,5,18,16,19,3,3,13,11,35,38,10,10,18,29,51,-22,40,2001,17,22,26.11764705882353,0.0,0.0,15,0.569,28,12,0.491,0.211,2.327,0.763,1.342,0.51,5.0,3513.0,9.36,40.91,9.0,
2001/02,Tottenham,19,10,4,5,32,24,19,4,4,11,17,29,38,14,8,16,49,53,-4,50,2001,17,21,27.88235294117647,0.0,0.0,15,0.925,34,16,0.596,0.281,2.121,1.289,1.395,0.49,4.0,4347.0,11.61,38.1,8.0,
2001/02,West Ham,19,12,4,3,32,14,19,3,4,12,16,43,38,15,8,15,48,57,-9,53,2001,14,21,26.928571428571427,0.0,0.0,13,0.842,40,13,0.702,0.228,3.079,1.263,1.5,0.452,5.0,7000.0,18.68,33.33,7.0,
2002/03,Arsenal,19,15,2,2,47,20,19,8,7,4,38,22,38,23,9,6,85,42,43,78,2002,17,21,28.058823529411764,0.0,0.0,14,2.024,47,31,0.825,0.544,1.517,2.237,1.105,0.596,4.0,285.0,0.76,19.05,4.0,
2002/03,Aston Villa,19,11,2,6,25,14,19,1,7,11,17,33,38,12,9,17,42,47,-5,45,2002,16,25,27.125,0.0,0.0,16,0.894,35,10,0.614,0.175,3.509,1.105,1.237,0.548,5.0,3333.0,8.89,36.0,9.0,
2002/03,Birmingham,19,8,5,6,25,23,19,5,4,10,16,26,38,13,9,16,41,49,-8,48,2002,19,25,27.105263157894736,0.0,0.0,18,0.837,29,19,0.509,0.333,1.529,1.079,1.289,0.529,4.0,639.0,1.7,,,
2002/03,Blackburn,19,9,7,3,24,15,19,7,5,7,28,28,38,16,12,10,52,43,9,60,2002,14,20,27.214285714285715,0.0,0.0,14,1.209,34,26,0.596,0.456,1.307,1.368,1.132,0.586,4.0,679.0,1.81,35.0,7.0,
2002/03,Bolton,19,7,8,4,27,24,19,3,6,10,14,27,38,10,14,14,41,51,-10,44,2002,16,19,28.1875,0.0,0.0,15,0.804,29,15,0.509,0.263,1.935,1.079,1.342,0.51,4.0,3321.0,8.86,21.05,4.0,
2002/03,Charlton,19,8,3,8,26,30,19,6,4,9,19,26,38,14,7,17,45,56,-11,49,2002,16,19,26.125,0.0,0.0,16,0.804,27,22,0.474,0.386,1.228,1.184,1.474,0.461,2.0,23.0,0.06,15.79,3.0,
2002/03,Chelsea,19,12,5,2,41,15,19,7,5,7,27,23,38,19,10,9,68,38,30,67,2002,17,18,26.823529411764707,0.0,0.0,14,1.789,41,26,0.719,0.456,1.577,1.789,1.0,0.635,4.0,573.0,1.52,16.67,3.0,
2002/03,Everton,19,11,5,3,28,19,19,6,3,10,20,30,38,17,8,13,48,49,-1,59,2002,16,18,26.625,0.0,0.0,16,0.98,38,21,0.667,0.368,1.813,1.263,1.289,0.529,2.0,1615.0,4.56,22.22,4.0,
2002/03,Fulham,19,11,3,5,26,18,19,2,6,11,15,32,38,13,9,16,41,50,-9,48,2002,18,23,26.27777777777778,0.0,0.0,18,0.82,36,12,0.632,0.211,2.995,1.079,1.316,0.519,1.0,52.0,0.14,26.09,6.0,
2002/03,Leeds,19,7,3,9,25,26,19,7,2,10,33,31,38,14,5,19,58,57,1,47,2002,17,22,26.176470588235293,0.0,0.0,16,1.018,24,23,0.421,0.404,1.042,1.526,1.5,0.452,4.0,709.0,1.89,40.91,9.0,
2002/03,Liverpool,19,9,8,2,30,16,19,9,2,8,31,25,38,18,10,10,61,41,20,64,2002,15,18,24.466666666666665,0.0,0.0,12,1.488,35,29,0.614,0.509,1.206,1.605,1.079,0.606,2.0,1639.0,4.37,33.33,6.0,
2002/03,Man City,19,9,2,8,28,26,19,6,4,9,19,28,38,15,6,17,47,54,-7,51,2002,15,22,27.533333333333335,0.0,0.0,14,0.87,29,22,0.509,0.386,1.319,1.237,1.421,0.481,5.0,2930.0,7.81,59.09,13.0,
2002/03,Man United,19,16,2,1,42,12,19,9,6,4,32,22,38,25,8,5,74,34,40,83,2002,16,19,26.875,0.0,0.0,15,2.176,50,33,0.877,0.579,1.515,1.947,0.895,0.673,2.0,46.0,0.12,10.53,2.0,
2002/03,Middlesbrough,19,10,7,2,36,21,19,3,3,13,12,23,38,13,10,15,48,44,4,49,2002,14,24,25.928571428571427,0.0,0.0,13,1.091,37,12,0.649,0.211,3.076,1.263,1.158,0.577,6.0,3119.0,8.31,50.0,12.0,
2002/03,Newcastle,19,15,2,2,36,17,19,6,4,9,27,31,38,21,6,11,63,48,15,69,2002,17,20,23.941176470588236,0.0,0.0,15,1.312,47,22,0.825,0.386,2.137,1.658,1.263,0.539,6.0,4629.0,12.36,30.0,6.0,
2002/03,Southampton,19,9,8,2,25,16,19,4,5,10,18,30,38,13,13,12,43,46,-3,52,2002,15,19,27.466666666666665,0.0,0.0,15,0.935,35,17,0.614,0.298,2.06,1.132,1.211,0.558,2.0,1047.0,2.78,21.05,4.0,
2002/03,Sunderland,19,3,2,14,11,31,19,1,5,13,10,34,38,4,7,27,21,65,-44,19,2002,17,26,25.470588235294116,0.0,0.0,16,0.323,11,8,0.193,0.14,1.379,0.553,1.711,0.375,7.0,2625.0,7.03,42.31,11.0,
2002/03,Tottenham,19,9,4,6,30,29,19,5,4,10,21,33,38,14,8,16,51,62,-11,50,2002,17,22,27.11764705882353,0.0,0.0,15,0.823,31,19,0.544,0.333,1.634,1.342,1.632,0.404,3.0,1332.0,3.56,18.18,4.0,
2002/03,West Brom,19,3,5,11,17,34,19,3,3,13,12,31,38,6,8,24,29,65,-36,26,2002,15,18,26.8,0.0,0.0,13,0.446,14,12,0.246,0.211,1.166,0.763,1.711,0.375,1.0,145.0,0.39,,,
2002/03,West Ham,19,5,7,7,21,24,19,5,5,9,21,35,38,10,12,16,42,59,-17,42,2002,16,20,26.75,0.0,0.0,15,0.712,22,20,0.386,0.351,1.1,1.105,1.553,0.433,3.0,7296.0,19.46,30.0,6.0,
2003/04,Arsenal,16,12,4,0,29,11,17,10,7,0,32,12,33,22,11,0,61,23,38,77,2003,14,19,27.285714285714285,0.0,0.0,12,2.652,40,37,0.833,0.725,1.149,1.848,0.697,0.745,5.0,1634.0,4.36,15.79,3.0,
2003/04,Aston Villa,16,8,5,3,20,14,18,6,4,8,22,23,34,14,9,11,42,37,5,51,2003,14,20,25.714285714285715,0.0,0.0,13,1.135,29,22,0.604,0.407,1.484,1.235,1.088,0.602,3.0,2847.0,7.58,25.0,5.0,
2003/04,Birmingham,18,8,5,5,25,22,16,4,7,5,14,19,34,12,12,10,39,41,-2,48,2003,16,20,26.875,0.0,0.0,15,0.951,29,19,0.537,0.396,1.356,1.147,1.206,0.559,2.0,77.0,0.21,20.0,4.0,
2003/04,Blackburn,16,4,3,9,22,28,17,6,4,7,22,21,33,10,7,16,44,49,-5,37,2003,18,23,27.27777777777778,0.0,0.0,17,0.898,15,22,0.312,0.431,0.724,1.333,1.485,0.457,3.0,2211.0,5.89,47.83,11.0,
2003/04,Bolton,16,5,7,4,20,17,18,7,3,8,22,34,34,12,10,12,42,51,-9,46,2003,15,16,28.333333333333332,0.0,0.0,14,0.824,22,24,0.458,0.444,1.032,1.235,1.5,0.452,3.0,2655.0,7.06,25.0,4.0,
2003/04,Charlton,16,6,4,6,25,26,18,6,5,7,21,22,34,12,9,13,46,48,-2,45,2003,18,19,27.555555555555557,0.0,0.0,17,0.958,22,23,0.458,0.426,1.075,1.353,1.412,0.484,3.0,1049.0,2.79,31.58,6.0,
2003/04,Chelsea,16,11,2,3,33,13,17,11,3,3,30,14,33,22,5,6,63,27,36,71,2003,17,23,25.41176470588235,0.0,0.0,15,2.333,35,36,0.729,0.706,1.033,1.909,0.818,0.701,4.0,2402.0,6.39,56.52,13.0,
2003/04,Everton,18,7,5,6,24,19,16,1,5,10,16,31,34,8,10,16,40,50,-10,34,2003,16,22,26.5,0.0,0.0,16,0.8,26,8,0.481,0.167,2.88,1.176,1.471,0.463,3.0,3640.0,9.7,36.36,8.0,
2003/04,Fulham,17,9,4,4,26,16,16,3,5,8,19,25,33,12,9,12,45,41,4,45,2003,16,24,26.5,0.0,0.0,16,1.098,31,14,0.608,0.292,2.082,1.364,1.242,0.546,7.0,3966.0,10.56,41.67,10.0,
2003/04,Leeds,17,4,6,7,21,28,16,2,2,12,13,41,33,6,8,19,34,69,-35,26,2003,14,22,24.785714285714285,0.0,0.0,14,0.493,18,8,0.353,0.167,2.114,1.03,2.091,0.236,7.0,6570.0,17.55,45.45,10.0,
2003/04,Leicester,18,3,10,5,19,26,15,3,5,7,26,30,33,6,15,12,45,56,-11,33,2003,18,24,28.77777777777778,0.0,0.0,17,0.804,19,14,0.352,0.311,1.132,1.364,1.697,0.38,,,,58.33,14.0,
2003/04,Liverpool,15,9,2,4,24,13,18,6,8,4,24,18,33,15,10,8,48,31,17,55,2003,15,21,25.866666666666667,0.0,0.0,12,1.548,29,26,0.644,0.481,1.339,1.455,0.939,0.657,4.0,1134.0,3.01,23.81,5.0,
2003/04,Man City,16,4,8,4,22,17,17,4,3,10,22,28,33,8,11,14,44,45,-1,35,2003,17,19,28.058823529411764,0.0,0.0,16,0.978,20,15,0.417,0.294,1.418,1.333,1.364,0.502,3.0,2499.0,6.65,57.89,11.0,
2003/04,Man United,18,11,4,3,36,15,16,9,2,5,23,18,34,20,6,8,59,33,26,66,2003,16,22,25.125,0.0,0.0,16,1.788,37,29,0.685,0.604,1.134,1.735,0.971,0.645,3.0,3466.0,9.22,31.82,7.0,
2003/04,Middlesbrough,18,7,4,7,22,22,17,5,4,8,18,24,35,12,8,15,40,46,-6,44,2003,16,21,27.5,0.0,0.0,16,0.87,25,19,0.463,0.373,1.241,1.143,1.314,0.52,3.0,1525.0,4.05,23.81,5.0,
2003/04,Newcastle,17,11,3,3,32,13,17,2,10,5,15,22,34,13,13,8,47,35,12,52,2003,15,19,24.6,0.0,0.0,14,1.343,36,16,0.706,0.314,2.248,1.382,1.029,0.624,6.0,4125.0,11.02,10.53,2.0,
2003/04,Portsmouth,16,7,4,5,26,17,18,2,4,12,11,34,34,9,8,17,37,51,-14,35,2003,16,24,27.5,0.0,0.0,13,0.725,25,10,0.521,0.185,2.816,1.088,1.5,0.452,4.0,3485.0,9.27,,,
2003/04,Southampton,18,8,5,5,21,14,15,2,5,8,11,21,33,10,10,13,32,35,-3,40,2003,14,23,27.714285714285715,0.0,0.0,14,0.914,29,11,0.537,0.244,2.201,0.97,1.061,0.612,2.0,959.0,2.56,30.43,7.0,
2003/04,Tottenham,17,9,3,5,32,25,16,3,2,11,11,25,33,12,5,16,43,50,-7,41,2003,18,24,25.666666666666668,0.0,0.0,17,0.86,30,11,0.588,0.229,2.568,1.303,1.515,0.446,8.0,5008.0,13.33,41.67,10.0,
2003/04,Wolves,16,7,5,4,21,27,17,0,5,12,11,38,33,7,10,16,32,65,-33,31,2003,15,21,29.333333333333332,0.0,0.0,15,0.492,26,5,0.542,0.098,5.531,0.97,1.97,0.28,1.0,516.0,1.37,,,
2004/05,Arsenal,16,10,5,1,43,18,17,11,3,3,30,15,33,21,8,4,73,33,40,71,2004,18,21,25.666666666666668,13017647.05882353,221300000.0,17,2.212,35,36,0.729,0.706,1.033,2.212,1.0,0.635,8.0,8406.0,22.36,28.57,6.0,0.3208
2004/05,Aston Villa,17,8,5,4,24,14,17,4,5,8,17,28,34,12,10,12,41,42,-1,46,2004,16,20,25.0,4072000.0,61080000.0,15,0.976,29,17,0.569,0.333,1.709,1.206,1.235,0.549,6.0,5953.0,15.84,30.0,6.0,0.7531
2004/05,Birmingham,17,6,6,5,20,13,17,3,5,9,15,29,34,9,11,14,35,42,-7,38,2004,16,25,26.625,4043333.3333333335,60650000.0,15,0.833,24,14,0.471,0.275,1.713,1.029,1.235,0.549,1.0,1040.0,2.77,48.0,12.0,0.6265
2004/05,Blackburn,17,5,7,5,20,19,16,4,5,7,9,18,33,9,12,12,29,37,-8,39,2004,17,23,27.352941176470587,3014705.882352941,51250000.0,17,0.784,22,17,0.431,0.354,1.218,0.879,1.121,0.59,4.0,1070.0,2.86,34.78,8.0,0.761
2004/05,Bolton,17,8,5,4,22,14,17,7,3,7,22,24,34,15,8,11,44,38,6,53,2004,15,18,27.866666666666667,2989285.714285714,41850000.0,14,1.158,29,24,0.569,0.471,1.208,1.294,1.118,0.592,3.0,2609.0,6.96,38.89,7.0,1.2664
2004/05,Charlton,17,8,3,6,27,23,17,4,6,7,13,27,34,12,9,13,40,50,-10,45,2004,17,20,27.41176470588235,3159375.0,50550000.0,16,0.8,27,18,0.529,0.353,1.499,1.176,1.471,0.463,1.0,14.0,0.04,30.0,6.0,0.8902
2004/05,Chelsea,17,12,5,0,31,5,16,13,2,1,31,7,33,25,7,1,62,12,50,82,2004,15,20,24.133333333333333,17346153.846153848,225500000.0,13,5.167,41,41,0.804,0.854,0.941,1.879,0.364,0.867,8.0,2982.0,7.93,45.0,9.0,0.3636
2004/05,Crystal Palace,17,5,4,8,18,17,17,1,5,11,18,41,34,6,9,19,36,58,-22,27,2004,14,21,24.785714285714285,1134615.3846153845,14750000.0,13,0.621,19,8,0.373,0.157,2.376,1.059,1.706,0.377,4.0,6366.0,16.99,,,1.8305
2004/05,Everton,17,11,1,5,21,14,16,6,5,5,19,19,33,17,6,10,40,33,7,57,2004,14,20,28.428571428571427,2925000.0,40950000.0,14,1.212,34,23,0.667,0.479,1.392,1.212,1.0,0.635,1.0,26.0,0.07,30.0,6.0,1.3919
2004/05,Fulham,16,6,4,6,20,23,17,3,4,10,19,30,33,9,8,16,39,53,-14,35,2004,17,21,26.823529411764707,3173529.411764706,53950000.0,17,0.736,22,13,0.458,0.255,1.796,1.182,1.606,0.413,5.0,4442.0,11.89,33.33,7.0,0.6487
2004/05,Liverpool,17,11,3,3,28,13,17,5,3,9,20,22,34,16,6,12,48,35,13,54,2004,18,25,25.833333333333332,9208823.529411765,156550000.0,17,1.371,36,18,0.706,0.353,2.0,1.412,1.029,0.624,6.0,1499.0,3.99,44.0,11.0,0.3449
2004/05,Man City,17,7,5,5,21,13,17,4,6,7,21,24,34,11,11,12,42,37,5,44,2004,16,19,26.3125,4360937.5,69775000.0,16,1.135,26,18,0.51,0.353,1.445,1.235,1.088,0.602,4.0,1716.0,4.56,31.58,6.0,0.6306
2004/05,Man United,16,11,5,0,27,7,17,8,5,4,21,13,33,19,10,4,48,20,28,67,2004,18,20,25.38888888888889,13697222.222222222,246550000.0,18,2.4,38,29,0.792,0.569,1.392,1.455,0.606,0.779,5.0,6173.0,16.44,15.0,3.0,0.2718
2004/05,Middlesbrough,17,7,6,4,24,19,16,5,4,7,22,25,33,12,10,11,46,44,2,46,2004,17,21,27.647058823529413,4025000.0,68425000.0,17,1.045,27,19,0.529,0.396,1.336,1.394,1.333,0.513,7.0,4681.0,12.46,33.33,7.0,0.6723
2004/05,Newcastle,16,7,4,5,24,24,16,2,7,7,18,27,32,9,11,12,42,51,-9,38,2004,19,23,25.263157894736842,6013888.888888889,108250000.0,18,0.824,25,13,0.521,0.271,1.923,1.312,1.594,0.418,6.0,4101.0,10.93,43.48,10.0,0.351
2004/05,Norwich,17,5,5,7,27,32,17,0,7,10,10,35,34,5,12,17,37,67,-30,27,2004,17,21,26.823529411764707,1325000.0,21200000.0,16,0.552,20,7,0.392,0.137,2.861,1.088,1.971,0.28,6.0,4626.0,12.32,,,1.2736
2004/05,Portsmouth,17,7,3,7,25,24,17,2,5,10,13,29,34,9,8,17,38,53,-15,35,2004,19,23,26.736842105263158,2588888.888888889,46600000.0,18,0.717,24,11,0.471,0.216,2.181,1.118,1.559,0.43,2.0,480.0,1.28,43.48,10.0,0.7511
2004/05,Southampton,17,4,9,4,25,25,17,1,4,12,12,30,34,5,13,16,37,55,-18,28,2004,17,28,28.0,3014705.882352941,51250000.0,17,0.673,21,7,0.412,0.137,3.007,1.088,1.618,0.409,7.0,1629.0,4.33,42.86,12.0,0.5463
2004/05,Tottenham,17,8,4,5,31,21,17,5,5,7,11,17,34,13,9,12,42,38,4,48,2004,17,23,23.941176470588236,5826562.5,93225000.0,16,1.105,28,20,0.549,0.392,1.401,1.235,1.118,0.592,6.0,3336.0,8.87,56.52,13.0,0.5149
2004/05,West Brom,16,4,7,5,14,21,17,1,7,9,18,32,33,5,14,14,32,53,-21,29,2004,16,19,27.1875,2196875.0,35150000.0,16,0.604,19,10,0.396,0.196,2.02,0.97,1.606,0.413,2.0,1133.0,3.03,68.42,13.0,0.825
2005/06,Arsenal,19,14,3,2,48,13,19,6,4,9,20,18,38,20,7,11,68,31,37,67,2005,18,22,25.88888888888889,10900000.0,174400000.0,16,2.194,45,22,0.789,0.386,2.044,1.789,0.816,0.702,10.0,6760.0,17.98,22.73,5.0,0.3842
2005/06,Aston Villa,19,6,6,7,20,20,19,4,6,9,22,35,38,10,12,16,42,55,-13,42,2005,15,22,25.0,3819230.769230769,49650000.0,13,0.764,24,18,0.421,0.316,1.332,1.105,1.447,0.471,7.0,8420.0,22.44,40.91,9.0,0.8459
2005/06,Birmingham,19,6,5,8,19,20,19,2,5,12,9,30,38,8,10,20,28,50,-22,34,2005,17,25,27.88235294117647,2848666.6666666665,42730000.0,15,0.56,23,11,0.404,0.193,2.093,0.737,1.316,0.519,6.0,2417.0,6.46,32.0,8.0,0.7957
2005/06,Blackburn,19,13,3,3,31,17,19,6,3,10,20,25,38,19,6,13,51,42,9,63,2005,15,19,27.6,3070000.0,46050000.0,15,1.214,42,21,0.737,0.368,2.003,1.342,1.105,0.596,5.0,3062.0,8.18,31.58,6.0,1.3681
